keyword,time,title,URL
카리나 재욱,2024.11.03 19:46,카리나는 한물갔지 댓글에,https://gall.dcinside.com/board/view/?id=divination_new1&no=7609844
카리나 재욱,2024.11.01 12:49,재욱이형카리나그거 맞아요?,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=131702
카리나 재욱,2024.11.01 07:49,재욱이 오빠가카리나보다 낫다는걸 인정하셈,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=131031
카리나 재욱,2024.10.28 10:39,재욱이형 덕분에 팬이 없어진카리나현실…,https://gall.dcinside.com/board/view/?id=baseball_new11&no=15168672
카리나 재욱,2024.10.26 16:26,카리나이제 윈터한테 밀림??? 야갤은 다 윈터 찾네 ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=15143898
카리나 재욱,2024.10.25 16:05,갤플보면카리나진심으로 빠는놈 자체가 없음,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=110823
카리나 재욱,2024.10.23 23:31,카리나깔게 없다니,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=105356
카리나 재욱,2024.10.22 03:52,그래 다 사쿠라가 잘못했어,https://gall.dcinside.com/board/view/?id=grsgills&no=5765771
카리나 재욱,2024.10.21 23:47,늊이 가장 망하길 바라는건 다름아닌 엣이다 ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5764083
카리나 재욱,2024.10.21 19:19,재욱이도 위플래쉬 스밍중이래,https://gall.dcinside.com/board/view/?id=grsgills&no=5759404
카리나 재욱,2024.10.21 11:15,진짜 내가 혼자서 미친거야? 아니면 슴이 이상한거야?,https://gall.dcinside.com/board/view/?id=grsgills&no=5754313
카리나 재욱,2024.10.19 18:09,늊은 지들이 삽질하는 바람에 엣이 꿀빠는건 화가 안 나냐?,https://gall.dcinside.com/board/view/?id=grsgills&no=5736675
카리나 재욱,2024.10.17 10:01,재욱볶음퀴 방역이 있겠습니다,https://gall.dcinside.com/board/view/?id=grsgills&no=5714037
카리나 재욱,2024.10.17 09:46,카리나는 팬 기만한게 ㅈㄴ 크지 ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5713909
카리나 재욱,2024.10.17 08:56,카리나일화) 시간 없다고 다른 아이돌들 버블 안오는거 다 거짓말이다,https://gall.dcinside.com/board/view/?id=grsgills&no=5713556
카리나 재욱,2024.10.16 07:41,멜론차트카리나up 1위 뭔데 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=15028185
카리나 재욱,2024.10.16 03:12,카리나팬인데... 리나양재욱군이랑 손만 잡고 헤어졌겠죠?,https://gall.dcinside.com/board/view/?id=baseball_ab2&no=8826991
카리나 재욱,2024.10.15 03:58,카리나up?,https://gall.dcinside.com/board/view/?id=grsgills&no=5683160
카리나 재욱,2024.10.14 17:28,카리나<< 대체 어디서 인기 있고 왜 인기 있는거임?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=15007574
카리나 재욱,2024.10.12 20:31,카리나빠는 게이새끼들 피싸개들 좀 꺼져라,https://gall.dcinside.com/board/view/?id=grsgills&no=5664103
카리나 재욱,2024.10.11 15:18,카리나의 진실은,https://gall.dcinside.com/board/view/?id=baseball_new11&no=14965511
카리나 재욱,2024.10.11 10:12,제니땜에 걱정했는데 안심중,https://gall.dcinside.com/mgallery/board/view/?id=gaon&no=7931955
카리나 재욱,2024.10.09 19:30,유럽 일대를 정복한 나폴레옹보다재욱<~~ 얘가 더 대단함 ㄹㅇ.,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=63896
카리나 재욱,2024.10.09 19:15,카리나가재욱햄이랑 연애만 안했어도 뇨이는 못비볐지..,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=63857
카리나 재욱,2024.10.09 10:22,그래카리나가재욱이랑 밤에 역사쓴것도 사쿠라 때문이고,https://gall.dcinside.com/board/view/?id=grsgills&no=5627684
카리나 재욱,2024.10.09 10:13,사쿠라가카리나밀라노가서재욱이랑 허니문 베이비 만들라고,https://gall.dcinside.com/board/view/?id=grsgills&no=5627621
카리나 재욱,2024.10.09 09:22,윈터도카리나언니처럼재욱이형같은 쌔끈한 남친 만들수도있지,https://gall.dcinside.com/board/view/?id=grsgills&no=5627309
카리나 재욱,2024.10.09 06:53,에스파 다른멤버들이 개판인데 윈터라고 멀쩡하겠노?,https://gall.dcinside.com/board/view/?id=grsgills&no=5626590
카리나 재욱,2024.10.08 13:02,재욱이는 껄떡된 여자가 있었다,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=60763
카리나 재욱,2024.10.08 12:59,재욱이는 알고있다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=14930473
카리나 재욱,2024.10.07 15:35,슴 아니면 데뷔 못했겠지만카리나도 불쌍하노 슴창 노괴년들 남미새질 소름,https://gall.dcinside.com/board/view/?id=grsgills&no=5610858
카리나 재욱,2024.10.07 15:33,ㅋㅋㅋ 노괴 슴창년들 남돌 사랑 눈물겹다 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5610830
카리나 재욱,2024.10.06 23:02,카리나글 도배하는182.230도 짱깨인거 아노?,https://gall.dcinside.com/board/view/?id=grsgills&no=5605013
카리나 재욱,2024.10.06 22:53,카리나가랑이,https://gall.dcinside.com/board/view/?id=grsgills&no=5604968
카리나 재욱,2024.10.06 18:53,젖능이카리나근황,https://gall.dcinside.com/board/view/?id=baseball_new11&no=14911630
카리나 재욱,2024.10.06 16:27,엣은 엣퀴라는게 없는게 맞지,https://gall.dcinside.com/board/view/?id=grsgills&no=5602559
카리나 재욱,2024.10.06 15:38,릇은 사쿠라빨로 일본 날먹한다면서 왜 엣은카리나빨을 못받냐,https://gall.dcinside.com/board/view/?id=grsgills&no=5602289
카리나 재욱,2024.10.06 14:03,카리나원래 묵주반지낀다하지않았나,https://gall.dcinside.com/mgallery/board/view/?id=idolism&no=884435
카리나 재욱,2024.10.05 10:53,카리나1황,https://gall.dcinside.com/board/view/?id=grsgills&no=5594227
카리나 재욱,2024.10.05 00:39,재욱이카리나생각하면서 부른다 꼭봐바,https://gall.dcinside.com/board/view/?id=grsgills&no=5592458
카리나 재욱,2024.10.05 00:30,제일 유명해진카리나밈은 이거다..,https://gall.dcinside.com/board/view/?id=grsgills&no=5592414
카리나 재욱,2024.10.04 17:50,카리나랑재욱이 몇달 사귐?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=14882015
카리나 재욱,2024.10.03 22:40,난 장카설 중에 설윤이 제일 이쁜듯,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=49831
카리나 재욱,2024.10.03 15:56,카리나는 워터밤 드렁드렁재욱이 3연타로 남초 민심 다 잃음,https://gall.dcinside.com/board/view/?id=grsgills&no=5582026
카리나 재욱,2024.10.02 14:56,카리나올려치는것들 남자는 맞음?,https://gall.dcinside.com/board/view/?id=grsgills&no=5574252
카리나 재욱,2024.10.01 18:50,카리나하락세는 빠는놈이 더 잘앎ㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5567791
카리나 재욱,2024.10.01 03:12,카리나한테 인간적으로 실망한 두가지,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=43906
카리나 재욱,2024.10.01 00:04,카리나는 뭔재욱인가 하는 배우랑 진즉에 깨진거 아니었냐?,https://gall.dcinside.com/board/view/?id=grsgills&no=5561584
카리나 재욱,2024.09.30 01:44,알고보니카리나바이럴의 가장 큰 피해자…jpg,https://gall.dcinside.com/board/view/?id=grsgills&no=5549416
카리나 재욱,2024.09.29 22:37,카리나퀴들은 정병밖에 안남았노ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5548144
카리나 재욱,2024.09.29 22:12,183.107카리나퀴야 니새끼는재욱이나 만나는데,https://gall.dcinside.com/board/view/?id=grsgills&no=5547917
카리나 재욱,2024.09.29 20:06,220.81 다중이카리나퀴,https://gall.dcinside.com/board/view/?id=grsgills&no=5547012
카리나 재욱,2024.09.29 20:02,220.81카리나빠는 엣저씨 맞음,https://gall.dcinside.com/board/view/?id=grsgills&no=5546975
카리나 재욱,2024.09.29 19:54,재욱볶음 터지고 미친카리나퀴 많노,https://gall.dcinside.com/board/view/?id=grsgills&no=5546897
카리나 재욱,2024.09.29 03:24,카리나가짜 인스타 어카운트로 뽕 제대로 뽑노,https://gall.dcinside.com/board/view/?id=grsgills&no=5540786
카리나 재욱,2024.09.28 08:37,근데 억빠거르고카리나가 장원영 이겼던 역사가 없던데,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=36368
카리나 재욱,2024.09.25 22:51,재욱이는 현실애서카리나미연시를 한거구나....,https://gall.dcinside.com/mgallery/board/view/?id=hikikomori&no=515051
카리나 재욱,2024.09.25 18:46,카리나하면재욱이밖에 생각 안 나는데,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=7257617
카리나 재욱,2024.09.24 23:39,183.107 얘잖아,https://gall.dcinside.com/board/view/?id=grsgills&no=5482675
카리나 재욱,2024.09.24 12:38,이상하게 열애설이 터졌을 때 남자 외모를 보게되던데,https://gall.dcinside.com/mgallery/board/view/?id=girlsong&no=28119
카리나 재욱,2024.09.23 13:12,재욱이햄이카리나보고 싶대,https://gall.dcinside.com/board/view/?id=grsgills&no=5467631
카리나 재욱,2024.09.23 13:00,재욱이햄 아직카리나못 잊은듯,https://gall.dcinside.com/board/view/?id=grsgills&no=5467526
카리나 재욱,2024.09.23 12:33,재욱신 헤어지자말해요 부른거 ㄹㅇ 슬프네요,https://gall.dcinside.com/board/view/?id=baseball_ab2&no=8657129
카리나 재욱,2024.09.22 20:40,요즘카리나빠는애들 잘안보임,https://gall.dcinside.com/mgallery/board/view/?id=hanmath&no=7238403
카리나 재욱,2024.09.21 11:52,카리나인스타 팔로워가 제일 이상해,https://gall.dcinside.com/board/view/?id=grsgills&no=5452605
카리나 재욱,2024.09.21 11:17,요즘 인스타 팔로워 주작질 필터링한다던데,https://gall.dcinside.com/board/view/?id=grsgills&no=5452451
카리나 재욱,2024.09.20 10:49,재욱이형도 사실카리나한테 졸라 실망했을거다,https://gall.dcinside.com/board/view/?id=grsgills&no=5442966
카리나 재욱,2024.09.20 00:17,카리나재욱이형 만난 그 쇼 게티는 없어?,https://gall.dcinside.com/board/view/?id=grsgills&no=5440940
카리나 재욱,2024.09.18 15:59,쎅슴은 대단해카리나는 신이에요 언플갑,https://gall.dcinside.com/board/view/?id=grsgills&no=5428272
카리나 재욱,2024.09.18 10:12,카리나오늘자 네이버 자동검색어 근황..jpg,https://gall.dcinside.com/board/view/?id=grsgills&no=5425282
카리나 재욱,2024.09.18 09:58,카리나라 일본에서 유명해진 이유,https://gall.dcinside.com/board/view/?id=grsgills&no=5425194
카리나 재욱,2024.09.18 01:26,육즙이>>>재욱이 덮밥 육즙 말하는거냐,https://gall.dcinside.com/board/view/?id=grsgills&no=5423330
카리나 재욱,2024.09.16 16:28,재욱햄 노래하는거 보니까 아직카리나포기 안했던데,https://gall.dcinside.com/board/view/?id=grsgills&no=5406590
카리나 재욱,2024.09.16 15:19,엣퀴줌들이카리나빠는이유,https://gall.dcinside.com/board/view/?id=grsgills&no=5405889
카리나 재욱,2024.09.16 14:22,카리나는 얼굴 몸매 다 되니까,https://gall.dcinside.com/board/view/?id=grsgills&no=5405458
카리나 재욱,2024.09.16 14:06,국내 1황은 엣이 맞음,https://gall.dcinside.com/board/view/?id=grsgills&no=5405357
카리나 재욱,2024.09.16 12:57,카리나가 부러운점,https://gall.dcinside.com/board/view/?id=grsgills&no=5404800
카리나 재욱,2024.09.16 12:25,카리나는재욱이가 있자너,https://gall.dcinside.com/board/view/?id=grsgills&no=5404475
카리나 재욱,2024.09.15 16:27,결국 에스파는카리나남친재욱이가 사형선고내린게,https://gall.dcinside.com/board/view/?id=grsgills&no=5397208
카리나 재욱,2024.09.15 13:27,카리나퀴들재욱이햄한테 내상입더라,https://gall.dcinside.com/board/view/?id=grsgills&no=5395793
카리나 재욱,2024.09.15 09:44,카리나퀴재욱볶음에 긁히는거맞노ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5393764
카리나 재욱,2024.09.13 19:00,걸갤 장원영카리나차이,https://gall.dcinside.com/board/view/?id=grsgills&no=5368728
카리나 재욱,2024.09.13 13:53,183.107=재욱이 터지고 미친카리나퀴,https://gall.dcinside.com/board/view/?id=grsgills&no=5365302
카리나 재욱,2024.09.13 13:49,183.107카리나퀴 또 릇퀴가면질이노ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5365247
카리나 재욱,2024.09.13 13:45,카리나퀴들 또나대노ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5365177
카리나 재욱,2024.09.12 17:37,카리나는 역바 당한게 아니라 ㅋㅋ재욱볶음 해먹은거지 ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5353076
카리나 재욱,2024.09.11 14:39,에스파 지금까지 버틴거 딱하나임,https://gall.dcinside.com/board/view/?id=grsgills&no=5327850
카리나 재욱,2024.09.09 23:18,재욱이형카리나한테 존나 실망해서 헤어진 게 맞음,https://gall.dcinside.com/board/view/?id=grsgills&no=5309875
카리나 재욱,2024.09.08 14:37,183.107카리나퀴 열등감 미쳤노ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5291457
카리나 재욱,2024.09.08 14:13,183.107 카리나퀴일수도 있겠노,https://gall.dcinside.com/board/view/?id=grsgills&no=5291277
카리나 재욱,2024.09.07 22:51,재욱이가 잘 생겼음,https://gall.dcinside.com/board/view/?id=grsgills&no=5286746
카리나 재욱,2024.09.07 12:08,카리나도 연애 할만 하지..,https://gall.dcinside.com/board/view/?id=grsgills&no=5282203
카리나 재욱,2024.09.06 23:56,슴창퀴들때문에카리나-이재욱 커플 헤어진거 맘 아파,https://gall.dcinside.com/board/view/?id=grsgills&no=5278636
카리나 재욱,2024.09.06 19:53,슴과 슴창은 그 병신같은 문화를 바꾸지 않으면 답없지,https://gall.dcinside.com/board/view/?id=grsgills&no=5276497
카리나 재욱,2024.09.06 16:08,아이돌판에 일반적인 여론조사는 의미 없어,https://gall.dcinside.com/board/view/?id=grsgills&no=5273914
카리나 재욱,2024.09.06 13:39,그런데카리나가 외모 원탑인데,https://gall.dcinside.com/board/view/?id=grsgills&no=5271764
카리나 재욱,2024.09.06 11:03,와 유튜브 쇼츠 ㄷㄷ,https://gall.dcinside.com/board/view/?id=grsgills&no=5269882
카리나 재욱,2024.09.06 06:15,이 바닥에서 대중이라는 말만큼 개소리가 없다니까 ㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5268381
카리나 재욱,2024.09.05 19:43,카리나랑재욱이...뭐요..?,https://gall.dcinside.com/mini/board/view/?id=fucking&no=702230
카리나 재욱,2024.09.05 15:17,카리나는 차쥐뿔이 결과적으로 배드엔딩이됐지,https://gall.dcinside.com/mgallery/board/view/?id=culture1&no=3478
카리나 재욱,2024.09.05 13:08,그래도카리나많이 발전한듯.. 디매남보단재욱이가,https://gall.dcinside.com/mgallery/board/view/?id=culture1&no=2376
카리나 재욱,2024.09.02 13:54,이게 왜 이재욱 인스타노? ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=grsgills&no=5220084
카리나 재욱,2024.09.02 10:47,느그 바이럴덩어리카리나관심없어요,https://gall.dcinside.com/board/view/?id=grsgills&no=5217860
카리나 재욱,2024.09.02 09:37,재욱볶음 맛 못잊는카리나근황...jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=14470228
카리나 재욱,2024.09.01 15:49,카리나(재욱덮밥 25세)는 왜 아이돌한다고 깝치는거임?,https://gall.dcinside.com/board/view/?id=grsgills&no=5208825
